country,year,land_type,national_yield,world_yield,yield_factor,qscore_2018
Gambia,2014,"Crop Land",0.964723,3.37269,0.28604,3A
Gambia,2014,"Grazing Land",5.97,6.19,0.964459,3A
Gambia,2014,"Marine Fishing Grounds",1436,503.836,2.85013,3A
Gambia,2014,"Inland Fishing Grounds",0,0,1,3A
Gambia,2014,"Forest Land",1.0635,1.81878,0.584734,3A
Gambia,2014,Infrastructure,0,0,0.28604,3A
Georgia,2014,"Crop Land",3.44731,10.0304,0.343685,3A
Georgia,2014,"Grazing Land",11.11,6.19,1.79483,3A
Georgia,2014,"Marine Fishing Grounds",1057,503.836,2.0979,3A
Georgia,2014,"Inland Fishing Grounds",0,0,1,3A
Georgia,2014,"Forest Land",1.31052,1.81878,0.720548,3A
Georgia,2014,Infrastructure,0,0,0.343685,3A
Germany,2014,"Crop Land",11.952,7.13457,1.67523,3A
Germany,2014,"Grazing Land",13.81,6.19,2.23102,3A
Germany,2014,"Marine Fishing Grounds",1464,503.836,2.90571,3A
Germany,2014,"Inland Fishing Grounds",0,0,1,3A
Germany,2014,"Forest Land",7.36585,1.81878,4.04988,3A
Germany,2014,Infrastructure,0,0,1.67523,3A
Ghana,2014,"Crop Land",5.83746,5.77566,1.0107,3A
Ghana,2014,"Grazing Land",10.66,6.19,1.72213,3A
Ghana,2014,"Marine Fishing Grounds",691,503.836,1.37148,3A
Ghana,2014,"Inland Fishing Grounds",0,0,1,3A
Ghana,2014,"Forest Land",1.11522,1.81878,0.613166,3A
Ghana,2014,Infrastructure,0,0,1.0107,3A
Greece,2014,"Crop Land",5.81459,6.75843,0.860346,3A
Greece,2014,"Grazing Land",6.17,6.19,0.996769,3A
Greece,2014,"Marine Fishing Grounds",381,503.836,0.756198,3A
Greece,2014,"Inland Fishing Grounds",0,0,1,3A
Greece,2014,"Forest Land",0.893067,1.81878,0.491025,3A
Greece,2014,Infrastructure,0,0,0.860346,3A
Guadeloupe,2014,"Crop Land",39.965,47.6882,0.838047,3A
Guadeloupe,2014,"Grazing Land",0,6.19,1,3A
